infections,deaths,infecteds
1,0,0
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
4,0,3
4,0,3
4,0,3
4,0,3
4,0,3
4,0,3
5,0,5
5,0,5
5,0,5
5,0,5
7,0,7
7,0,7
7,0,8
8,0,9
8,0,9
11,0,12
11,0,12
12,0,14
12,0,15
13,0,16
14,0,17
15,0,18
16,0,19
17,0,22
17,0,22
17,0,22
18,0,23
17,0,24
19,0,26
20,0,27
20,0,28
23,0,32
22,0,32
20,0,32
21,0,34
21,0,35
22,0,38
24,0,40
22,0,40
22,0,41
26,0,46
26,0,48
29,0,51
31,0,53
31,0,55
33,0,58
35,0,62
42,0,69
42,0,72
40,0,72
42,0,74
47,0,79
49,0,84
53,0,89
55,0,93
58,0,98
60,0,101
61,1,106
63,1,110
66,1,114
68,1,118
69,1,122
75,1,131
78,1,138
80,2,145
79,2,149
81,3,152
87,3,158
91,3,167
91,3,172
91,3,176
89,4,180
93,4,186
92,4,189
91,4,193
91,4,199
98,4,208
99,4,214
104,4,220
99,4,223
100,4,231
95,5,236
97,5,241
103,5,250
107,5,256
109,5,265
105,5,271
108,5,277
112,5,283
112,5,289
115,5,297
119,6,304
120,7,311
120,8,317
118,8,323
116,9,327
114,9,329
121,9,339
122,9,351
126,9,357
122,9,361
124,9,369
119,9,375
124,9,384
127,9,394
125,9,397
128,9,405
127,10,411
127,10,417
138,10,432
139,10,439
139,11,448
138,11,451
142,11,458
148,11,469
142,12,479
148,12,490
150,12,498
157,12,507
154,12,514
157,12,525
157,13,532
160,13,540
163,15,550
166,16,564
179,16,582
177,16,588
174,17,598
182,17,614
184,18,621
195,18,638
197,18,647
206,18,664
204,19,676
205,20,684
210,20,698
218,20,711
220,21,722
229,21,738
226,21,746
233,21,762
235,22,776
241,22,792
246,22,809
256,23,825
252,24,836
255,24,847
263,24,863
265,26,877
258,26,889
251,26,898
260,27,913
262,28,926
274,28,949
274,28,962
274,28,975
278,28,987
269,28,996
272,28,1010
273,30,1029
264,32,1039
257,33,1053
252,33,1063
256,33,1079
268,33,1098
275,33,1121
277,34,1137
280,34,1147
283,34,1161
286,35,1175
281,36,1189
281,38,1210
281,38,1222
277,40,1233
286,40,1251
296,40,1262
293,41,1278
296,42,1296
302,42,1314
307,42,1331
306,42,1344
300,43,1358
300,44,1377
295,44,1391
291,45,1398
302,46,1420
292,48,1430
296,48,1449
298,49,1468
295,50,1481
303,51,1500
306,51,1515
307,52,1536
308,52,1555
314,52,1572
309,53,1587
304,53,1598
302,53,1614
304,55,1628
313,56,1650
312,56,1668
323,56,1691
325,56,1702
327,56,1718
331,57,1732
334,61,1755
328,61,1767
322,62,1779
332,62,1804
329,62,1820
328,66,1839
323,67,1858
320,67,1869
325,67,1883
334,67,1900
333,67,1914
325,68,1930
322,70,1945
310,73,1960
311,74,1975
302,75,1986
308,75,2004
300,76,2020
298,76,2032
292,78,2041
288,78,2052
282,80,2068
276,81,2077
259,82,2081
258,82,2091
257,82,2101
254,82,2113
247,83,2123
243,84,2134
239,84,2146
228,85,2151
221,85,2155
219,86,2169
216,88,2181
203,88,2187
202,89,2195
200,89,2206
203,89,2218
193,89,2225
191,89,2235
192,89,2244
197,89,2258
195,89,2267
195,90,2278
190,90,2284
191,91,2294
187,91,2300
186,93,2309
194,93,2322
183,93,2326
190,93,2337
183,95,2343
175,97,2346
174,97,2351
168,97,2357
168,98,2366
171,99,2378
166,99,2381
159,99,2385
160,99,2395
155,100,2403
152,100,2409
153,100,2418
148,100,2424
148,102,2431
144,102,2440
143,103,2445
141,103,2450
136,103,2456
133,103,2460
132,103,2461
129,103,2462
120,103,2466
117,104,2471
111,105,2475
112,105,2481
105,105,2481
103,106,2485
99,107,2491
96,107,2493
89,107,2495
83,107,2495
80,107,2500
76,107,2503
70,107,2504
72,107,2506
68,107,2509
69,107,2510
70,107,2512
70,107,2513
65,107,2514
62,107,2515
58,107,2515
52,108,2516
52,108,2517
47,108,2518
41,108,2519
40,108,2519
38,108,2519
36,108,2520
34,109,2520
33,109,2520
28,109,2520
26,110,2521
25,111,2522
21,111,2522
19,111,2522
16,112,2522
15,112,2522
14,112,2522
13,112,2522
13,112,2522
10,112,2522
9,112,2522
8,112,2522
7,112,2522
7,112,2522
6,112,2522
4,112,2522
3,112,2522
3,112,2522
1,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
0,112,2522
