infections,deaths,infecteds
1,0,1
1,0,1
2,0,2
3,0,3
3,0,3
4,0,4
5,0,5
7,0,7
7,0,7
7,0,7
8,0,8
10,0,10
10,0,11
10,0,11
11,0,12
12,0,13
12,0,13
14,0,15
15,0,16
15,0,17
14,0,17
16,0,19
15,0,19
17,0,22
17,0,24
18,0,25
18,0,25
19,0,27
24,0,32
25,0,35
27,0,38
26,0,38
26,0,39
29,0,42
28,0,42
27,0,43
27,0,43
26,0,43
26,0,44
25,0,44
25,0,46
24,0,46
21,0,46
21,0,46
19,0,46
14,0,46
11,0,46
11,0,46
8,0,46
7,0,46
5,1,46
4,1,46
3,1,46
3,1,46
3,1,46
3,1,46
2,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
0,1,46
