infections,deaths,infecteds
4,0,4
4,0,4
6,0,6
6,0,6
6,0,6
8,0,8
10,0,10
12,0,12
12,0,12
13,0,13
14,0,14
20,0,20
21,0,22
21,0,22
24,0,25
27,0,28
33,0,34
33,0,35
33,0,37
34,0,40
40,0,45
43,0,48
45,0,51
47,0,54
51,1,61
57,1,66
60,1,68
64,1,74
65,1,79
70,1,86
75,1,90
79,1,94
81,1,98
79,1,102
89,1,113
90,1,116
92,1,119
91,1,123
90,1,126
95,1,132
99,1,142
100,2,149
99,3,153
101,3,157
107,3,168
112,3,178
109,3,181
117,3,191
118,3,198
132,3,214
138,3,222
137,3,228
139,3,238
148,3,250
154,3,257
162,3,265
171,3,278
179,3,295
182,3,305
192,3,316
196,3,323
209,3,338
206,4,350
215,4,366
215,4,370
221,4,383
218,4,391
216,6,402
219,6,414
227,6,426
223,6,436
236,6,452
240,7,467
242,8,481
240,8,490
246,8,506
260,8,524
265,8,542
265,9,551
270,9,566
277,9,582
283,9,596
289,9,614
294,10,627
299,11,639
299,11,651
307,13,671
320,16,691
323,16,707
322,16,723
327,16,737
341,17,755
352,17,779
339,19,793
358,22,818
363,22,838
371,22,857
377,23,877
374,23,891
376,26,912
378,26,927
389,26,950
407,26,970
405,27,986
412,29,1004
418,29,1031
418,29,1048
415,31,1065
425,34,1086
424,34,1101
426,35,1127
429,36,1149
427,37,1171
434,37,1189
439,37,1202
448,37,1226
445,38,1242
444,40,1260
447,41,1280
464,44,1314
460,46,1330
473,47,1352
475,48,1373
485,48,1397
497,48,1423
508,48,1448
517,50,1468
513,51,1489
511,52,1512
523,52,1540
517,52,1555
521,53,1578
536,53,1599
545,53,1631
546,53,1647
554,54,1665
557,55,1693
559,55,1704
564,58,1730
568,58,1751
564,58,1769
557,60,1791
549,61,1812
551,62,1832
561,62,1854
565,64,1876
559,65,1895
574,66,1912
585,67,1940
583,69,1963
572,72,1979
573,72,2003
579,72,2021
563,73,2040
568,74,2062
564,76,2086
562,77,2103
561,77,2124
551,77,2137
547,77,2154
554,79,2176
554,81,2196
547,83,2217
534,85,2224
532,86,2241
523,88,2261
525,88,2281
515,90,2296
516,90,2308
499,93,2319
494,93,2331
494,93,2343
490,94,2353
475,95,2364
468,95,2376
471,96,2385
462,96,2392
456,96,2401
436,99,2407
419,99,2414
418,100,2426
416,101,2430
406,101,2436
389,102,2443
378,104,2446
364,106,2451
358,106,2453
352,107,2458
344,108,2463
339,108,2464
329,108,2465
315,108,2466
304,109,2468
299,112,2470
293,114,2474
289,114,2474
285,116,2474
285,118,2475
273,120,2475
261,121,2476
249,123,2476
241,123,2477
236,125,2477
237,125,2477
231,126,2477
223,126,2477
215,126,2477
206,126,2477
204,126,2477
193,126,2477
190,127,2477
188,127,2477
180,127,2477
175,128,2477
167,128,2477
165,129,2477
161,129,2477
157,129,2477
158,129,2477
151,129,2477
154,129,2477
151,129,2477
141,130,2477
136,130,2477
136,130,2477
136,130,2477
133,130,2477
135,130,2477
133,130,2477
124,130,2477
123,130,2477
120,130,2477
119,130,2477
109,130,2477
108,130,2477
99,131,2477
103,131,2477
91,133,2477
86,133,2477
84,133,2477
84,133,2477
86,133,2477
82,133,2477
81,133,2477
77,133,2477
71,134,2477
65,134,2477
68,134,2477
70,134,2477
68,134,2477
66,134,2477
63,134,2477
62,135,2477
64,135,2477
64,136,2477
67,136,2477
65,136,2477
69,136,2477
65,136,2477
64,136,2477
62,136,2477
64,136,2477
65,137,2477
68,137,2477
73,137,2477
68,137,2477
65,137,2477
62,138,2477
67,139,2477
68,139,2477
67,139,2477
65,139,2477
65,139,2477
64,139,2477
61,140,2477
65,140,2477
62,140,2477
59,140,2477
60,140,2477
58,140,2477
54,140,2477
50,140,2477
51,140,2477
51,140,2477
51,140,2477
50,140,2477
48,140,2477
48,140,2477
47,141,2477
46,141,2477
40,141,2477
39,141,2477
37,141,2477
37,141,2477
37,141,2477
34,141,2477
35,141,2477
36,141,2477
36,141,2477
36,141,2477
33,141,2477
34,141,2477
33,141,2477
35,141,2477
33,141,2477
28,141,2477
28,141,2477
30,141,2477
33,141,2477
32,141,2477
29,141,2477
30,141,2477
28,141,2477
30,141,2477
28,141,2477
29,141,2477
30,141,2477
29,142,2477
27,142,2477
26,142,2477
26,142,2477
25,142,2477
24,142,2477
25,142,2477
24,142,2477
22,142,2477
20,142,2477
21,142,2477
22,142,2477
20,142,2477
21,142,2477
22,142,2477
21,142,2477
16,143,2477
14,143,2477
15,143,2477
16,143,2477
15,143,2477
15,143,2477
15,143,2477
14,143,2477
15,143,2477
13,143,2477
14,143,2477
13,143,2477
14,143,2477
14,143,2477
13,143,2477
13,143,2477
12,143,2477
13,143,2477
13,143,2477
13,143,2477
13,143,2477
12,143,2477
11,143,2477
12,143,2477
12,143,2477
14,143,2477
13,143,2477
13,143,2477
15,143,2477
15,143,2477
15,143,2477
14,143,2477
